Année;Etat civil;Nbr enfants;Code;Plafond;Déduction
2013;1;1;101;200'900.00;66'967.00
2013;1;2;102;223'200.00;111'600.00
2013;1;3;103;245'500.00;147'300.00
2013;1;4;104;267'800.00;178'533.00
2013;1;5;105;290'100.00;207'214.00
2013;1;6;106;312'400.00;234'300.00
2013;1;7;107;334'700.00;260'322.00
2013;1;8;108;357'000.00;285'600.00
2013;1;9;109;379'300.00;310'336.00
2013;1;10;110;401'600.00;334'667.00
2013;2;1;201;200'900.00;24'263.00
2013;2;2;202;223'200.00;44'286.00
2013;2;3;203;245'500.00;61'995.00
2013;2;4;204;267'800.00;78'304.00
2013;2;5;205;290'100.00;93'702.00
2013;2;6;206;312'400.00;108'472.00
2013;2;7;207;334'700.00;122'794.00
2013;2;8;208;357'000.00;136'782.00
2013;2;9;209;379'300.00;150'516.00
2013;2;10;210;401'600.00;164'052.00
2013;3;1;301;200'900.00;42'927.00
2013;3;2;302;223'200.00;74'649.00
2013;3;3;303;245'500.00;101'168.00
2013;3;4;304;267'800.00;124'848.00
2013;3;5;305;290'100.00;146'812.00
2013;3;6;306;312'400.00;167'657.00
2013;3;7;307;334'700.00;187'732.00
2013;3;8;308;357'000.00;207'257.00
2013;3;9;309;379'300.00;226'373.00
2013;3;10;310;401'600.00;245'177.00
