Année;Commune;Taux
2013;Aclens;62
2013;Agiez;76
2013;Aigle;67.5
2013;Allaman;61
2013;Apples;71
2013;Arnex-sur-Nyon;57
2013;Arnex-sur-Orbe;73
2013;Arzier-Le Muids;64
2013;Assens;70
2013;Aubonne;68
2013;Avenches;68
2013;Ballaigues;66
2013;Ballens;69
2013;Bassins;70
2013;Baulmes;78
2013;Bavois;73
2013;Begnins;67
2013;Belmont-sur-Lausanne;71
2013;Belmont-sur-Yverdon;76
2013;Bercher;79
2013;Berolle;77
2013;Bettens;70
2013;Bex;71
2013;Bière;68
2013;Bioley-Magnoux;72
2013;Bioley-Orjulaz;66
2013;Blonay;72
2013;Bofflens;69
2013;Bogis-Bossey;64
2013;Bonvillars;55
2013;Borex;57
2013;Bottens;69
2013;Bougy-Villars;62
2013;Boulens;79
2013;Bourg-en-Lavaux;61
2013;Bournens;80
2013;Boussens;69
2013;Bremblens;66
2013;Brenles;78
2013;Bretigny-sur-Morrens;73
2013;Bretonnières;70
2013;Buchillon;53
2013;Bullet;70
2013;Bursinel;65
2013;Bursins;71
2013;Burtigny;76
2013;Bussigny;62
2013;Bussy-Chardonney;72
2013;Bussy-sur-Moudon;80
2013;Carrouge;74
2013;Chamblon;66
2013;Champagne;63
2013;Champtauroz;77
2013;Champvent;71
2013;Chardonne;66
2013;Château-d'Oex;83
2013;Chavannes-de-Bogis;59
2013;Chavannes-des-Bois;61
2013;Chavannes-le-Chêne;78
2013;Chavannes-le-Veyron;77
2013;Chavannes-près-Renens;79
2013;Chavannes-sur-Moudon;72
2013;Chavornay;72
2013;Chêne-Pâquier;81
2013;Chesalles-sur-Moudon;75
2013;Cheseaux-Noréaz;64
2013;Cheseaux-sur-Lausanne;74.5
2013;Chéserex;52
2013;Chessel;76
2013;Chevilly;71
2013;Chevroux;64
2013;Chexbres;64
2013;Chigny;62
2013;Clarmont;75
2013;Coinsins;39
2013;Commugny;58
2013;Concise;75
2013;Coppet;53
2013;Corbeyrier;66
2013;Corcelles-le-Jorat;79
2013;Corcelles-près-Concise;71
2013;Corcelles-près-Payerne;72
2013;Corcelles-sur-Chavornay;76
2013;Corseaux;66
2013;Corsier-sur-Vevey;68
2013;Cossonay;67.3
2013;Cottens (VD);69
2013;Crans (VD);53
2013;Crassier;64
2013;Cremin;77
2013;Crissier;65
2013;Cronay;81
2013;Croy;74
2013;Cuarnens;77
2013;Cuarny;81
2013;Cudrefin;55
2013;Cugy (VD);67
2013;Curtilles;72
2013;Daillens;71
2013;Démoret;81
2013;Denens;68
2013;Denges;62
2013;Dizy;70
2013;Dompierre (VD);80
2013;Donneloye;73
2013;Duillier;66
2013;Dully;49
2013;Echallens;74
2013;Echandens;62
2013;Echichens;68
2013;Eclépens;46
2013;Ecublens (VD);62
2013;Epalinges;66
2013;Ependes (VD);75
2013;Essertes;70
2013;Essertines-sur-Rolle;68
2013;Essertines-sur-Yverdon;71
2013;Essert-Pittet;72
2013;Etagnières;73
2013;Etoy;61
2013;Eysins;61
2013;Faoug;61
2013;Féchy;64
2013;Ferlens;78
2013;Ferreyres;76
2013;Fey;78
2013;Fiez;69
2013;Fontaines-sur-Grandson;69
2013;Forel;66
2013;Forel-sur-Lucens;75
2013;Founex;61
2013;Froideville;67
2013;Genolier;55
2013;Giez;66
2013;Gilly;66
2013;Gimel;71.5
2013;Gingins;51
2013;Givrins;64
2013;Gland;62.5
2013;Gollion;74
2013;Goumoëns;71
2013;Grancy;70
2013;Grandcour;75.5
2013;Grandevent;66
2013;Grandson;69
2013;Grens;57
2013;Gryon;72
2013;Henniez;65
2013;Hermenches;71
2013;Jongny;69
2013;Jorat-Menthue;72
2013;Jouxtens-Mézery;59
2013;Juriens;79
2013;La Chaux;77
2013;La Praz;83
2013;La Rippe;65
2013;La Sarraz;64
2013;La Tour-de-Peilz;66
2013;L'Abbaye;72
2013;L'Abergement;81
2013;Lausanne;79
2013;Lavey-Morcles;71
2013;Lavigny;74.5
2013;Le Brassus;70
2013;Le Chenit;60
2013;Le Lieu;65
2013;Le Mont-sur-Lausanne;75
2013;Le Sentier;70
2013;Le Vaud;73
2013;Les Bioux;75
2013;Les Clées;80
2013;Leysin;78
2013;Lignerolle;81
2013;L'Isle;72
2013;Lonay;55
2013;Longirod;81
2013;L'Orient;70
2013;Lovatens;71
2013;Lucens;66
2013;Luins;60
2013;Lully (VD);61
2013;Lussery-Villars;65
2013;Lussy-sur-Morges;66
2013;Lutry;56
2013;Maracon;76
2013;Marchissy;81
2013;Mathod;75
2013;Mauborget;70
2013;Mauraz;74
2013;Mex (VD);61
2013;Mézières;76
2013;Mies;49
2013;Missy;72
2013;Moiry;81
2013;Mollens (VD);74
2013;Molondin;81
2013;Montagny-près-Yverdon;61
2013;Montanaire;72
2013;Montcherand;69
2013;Montherod;72
2013;Montilliez;74
2013;Mont-la-Ville;76
2013;Montpreveyres;83
2013;Montreux;66
2013;Montricher;64
2013;Mont-sur-Rolle;63
2013;Morges;68.5
2013;Morrens (VD);71
2013;Moudon;73
2013;Mutrux;78.5
2013;Novalles;76
2013;Noville;78.5
2013;Nyon;61
2013;Ogens;78
2013;Ollon;68
2013;Onnens (VD);65
2013;Oppens;81
2013;Orbe;69
2013;Orges;74
2013;Ormont-Dessous;78.5
2013;Ormont-Dessus;68
2013;Orny;73
2013;Oron;69
2013;Orzens;81
2013;Oulens-sous-Echallens;74
2013;Pailly;77.5
2013;Pampigny;75
2013;Paudex;63
2013;Payerne;73
2013;Penthalaz;74
2013;Penthaz;61
2013;Penthéréaz;78
2013;Perroy;58
2013;Poliez-Pittet;71
2013;Pompaples;66
2013;Pomy;71
2013;Prangins;56
2013;Premier;81
2013;Préverenges;64
2013;Prévonloup;74
2013;Prilly;73.5
2013;Provence;81
2013;Puidoux;66
2013;Pully;63
2013;Rances;78
2013;Renens (VD);78.5
2013;Rennaz;63.5
2013;Reverolle;78
2013;Rivaz;63.5
2013;Roche (VD);64
2013;Rolle;59.5
2013;Romainmôtier-Envy;76
2013;Romanel-sur-Lausanne;70
2013;Romanel-sur-Morges;56
2013;Ropraz;77.5
2013;Rossenges;68
2013;Rossinière;81
2013;Rougemont;67
2013;Rovray;79
2013;Rueyres;73
2013;Saint-Barthélemy (VD);77
2013;Saint-Cergue;61
2013;Sainte-Croix;70
2013;Saint-George;66
2013;Saint-Livres;70
2013;Saint-Oyens;81
2013;Saint-Prex;55
2013;Saint-Sulpice (VD);55
2013;Sarzens;76
2013;Saubraz;83
2013;Savigny;68
2013;Senarclens;68.5
2013;Sergey;84
2013;Servion;71
2013;Sévery;78
2013;Signy-Avenex;56
2013;St-Légier-La Chiésaz;68
2013;St-Saphorin;62
2013;Suchy;68
2013;Sullens;72
2013;Suscévaz;66
2013;Syens;75.6
2013;Tannay;61
2013;Tartegnin;78
2013;Tévenon;73
2013;Tolochenaz;65
2013;Trélex;57
2013;Trey;80
2013;Treycovagnes;77
2013;Treytorrens;84
2013;Ursins;78
2013;Valbroye;75
2013;Valeyres-sous-Montagny;72
2013;Valeyres-sous-Rances;68
2013;Valeyres-sous-Ursins;78
2013;Vallorbe;74
2013;Vaulion;81
2013;Vaux-sur-Morges;39
2013;Vevey;73
2013;Veytaux;69
2013;Vich;70
2013;Villars-Epeney;60
2013;Villars-le-Comte;76
2013;Villars-le-Terroir;69
2013;Villars-Sainte-Croix;59
2013;Villars-sous-Yens;81
2013;Villarzel;81
2013;Villeneuve (VD);69
2013;Vinzel;73
2013;Vuarrens;75
2013;Vucherens;80
2013;Vufflens-la-Ville;67
2013;Vufflens-le-Château;55
2013;Vugelles-La Mothe;70
2013;Vuiteboeuf;77
2013;Vulliens;81
2013;Vullierens;76
2013;Vully-les-Lacs;67
2013;Yens;70
2013;Yverdon-les-Bains;76.5
2013;Yvonand;73
2013;Yvorne;68.5
