Année;Commune;Taux
2017;Aclens;62
2017;Agiez;76
2017;Aigle;67.5
2017;Allaman;62
2017;Apples;76
2017;Arnex-sur-Nyon;70
2017;Arnex-sur-Orbe;73
2017;Arzier-Le Muids;64
2017;Assens;70
2017;Aubonne;68
2017;Avenches;68
2017;Ballaigues;66
2017;Ballens;69
2017;Bassins;74
2017;Baulmes;78
2017;Bavois;73
2017;Begnins;67
2017;Belmont-sur-Lausanne;69.5
2017;Belmont-sur-Yverdon;76
2017;Bercher;79
2017;Berolle;77
2017;Bettens;70
2017;Bex;71
2017;Bière;68
2017;Bioley-Magnoux;74
2017;Bioley-Orjulaz;68
2017;Blonay;70
2017;Bofflens;69
2017;Bogis-Bossey;70
2017;Bonvillars;55
2017;Borex;58
2017;Bottens;69
2017;Bougy-Villars;66
2017;Boulens;79
2017;Bourg-en-Lavaux;61
2017;Bournens;80
2017;Boussens;69
2017;Bremblens;66
2017;Bretigny-sur-Morrens;73
2017;Bretonnières;72
2017;Buchillon;53
2017;Bullet;70
2017;Bursinel;65.5
2017;Bursins;71
2017;Burtigny;80
2017;Bussigny;62
2017;Bussy-Chardonney;78
2017;Bussy-sur-Moudon;80
2017;Chamblon;66
2017;Champagne;65
2017;Champtauroz;77
2017;Champvent;71
2017;Chardonne;68
2017;Château-d'Oex;83
2017;Chavannes-de-Bogis;59
2017;Chavannes-des-Bois;59
2017;Chavannes-le-Chêne;78
2017;Chavannes-le-Veyron;77
2017;Chavannes-près-Renens;79
2017;Chavannes-sur-Moudon;73
2017;Chavornay;72
2017;Chêne-Pâquier;79
2017;Cheseaux-Noréaz;70
2017;Cheseaux-sur-Lausanne;74.5
2017;Chéserex;57
2017;Chessel;74
2017;Chevilly;74
2017;Chevroux;70
2017;Chexbres;64
2017;Chigny;62
2017;Clarmont;75
2017;Coinsins;51
2017;Commugny;57
2017;Concise;75
2017;Coppet;53
2017;Corbeyrier;70
2017;Corcelles-le-Jorat;77
2017;Corcelles-près-Concise;71
2017;Corcelles-près-Payerne;72
2017;Corseaux;69
2017;Corsier-sur-Vevey;66
2017;Cossonay;71
2017;Cottens (VD);74
2017;Crans (VD);53
2017;Crassier;64
2017;Crissier;65
2017;Cronay;79
2017;Croy;74
2017;Cuarnens;77
2017;Cuarny;79
2017;Cudrefin;59
2017;Cugy (VD);70
2017;Curtilles;75
2017;Daillens;71
2017;Démoret;81
2017;Denens;70
2017;Denges;62
2017;Dizy;79
2017;Dompierre (VD);80
2017;Donneloye;73
2017;Duillier;66
2017;Dully;49
2017;Echallens;74
2017;Echandens;62
2017;Echichens;68
2017;Eclépens;46
2017;Ecublens (VD);62
2017;Epalinges;66
2017;Ependes (VD);75
2017;Essertes;72
2017;Essertines-sur-Rolle;68
2017;Essertines-sur-Yverdon;73
2017;Etagnières;73
2017;Etoy;61
2017;Eysins;61
2017;Faoug;64
2017;Féchy;64
2017;Ferreyres;76
2017;Fey;75
2017;Fiez;69
2017;Fontaines-sur-Grandson;69
2017;Forel;68
2017;Founex;57
2017;Froideville;76
2017;Genolier;55
2017;Giez;66
2017;Gilly;66
2017;Gimel;71.5
2017;Gingins;57
2017;Givrins;61
2017;Gland;62.5
2017;Gollion;74
2017;Goumoëns;77
2017;Grancy;70
2017;Grandcour;79.5
2017;Grandevent;68
2017;Grandson;69
2017;Grens;62
2017;Gryon;75
2017;Henniez;69
2017;Hermenches;75
2017;Jongny;71
2017;Jorat-Menthue;72
2017;Jorat-Mézières;76
2017;Jouxtens-Mézery;53
2017;Juriens;79
2017;La Chaux;77
2017;La Praz;83
2017;La Rippe;65
2017;La Sarraz;66
2017;La Tour-de-Peilz;64
2017;L'Abbaye;76
2017;L'Abergement;81
2017;Lausanne;79
2017;Lavey-Morcles;71
2017;Lavigny;74.5
2017;Le Brassus;70
2017;Le Chenit;60
2017;Le Lieu;65
2017;Le Mont-sur-Lausanne;75
2017;Le Sentier;70
2017;Le Vaud;75
2017;Les Bioux;79
2017;Les Clées;80
2017;Leysin;78
2017;Lignerolle;80
2017;L'Isle;76
2017;Lonay;55
2017;Longirod;81
2017;L'Orient;70
2017;Lovatens;75
2017;Lucens;66
2017;Luins;60
2017;Lully (VD);61
2017;Lussery-Villars;72
2017;Lussy-sur-Morges;66
2017;Lutry;55.5
2017;Maracon;76
2017;Marchissy;79
2017;Mathod;72
2017;Mauborget;70
2017;Mauraz;74
2017;Mex (VD);61
2017;Mies;49
2017;Missy;72
2017;Moiry;81
2017;Mollens (VD);74
2017;Molondin;81
2017;Montagny-près-Yverdon;61
2017;Montanaire;72
2017;Montcherand;72
2017;Montherod;78
2017;Montilliez;74
2017;Mont-la-Ville;76
2017;Montpreveyres;77
2017;Montreux;65
2017;Montricher;64
2017;Mont-sur-Rolle;64
2017;Morges;68.5
2017;Morrens (VD);71
2017;Moudon;75
2017;Mutrux;78.5
2017;Novalles;76
2017;Noville;78.5
2017;Nyon;61
2017;Ogens;78
2017;Ollon;68
2017;Onnens (VD);65
2017;Oppens;81
2017;Orbe;77
2017;Orges;74
2017;Ormont-Dessous;78.5
2017;Ormont-Dessus;76
2017;Orny;73
2017;Oron;69
2017;Orzens;79
2017;Oulens-sous-Echallens;71
2017;Pailly;77.5
2017;Pampigny;75
2017;Paudex;61.5
2017;Payerne;75
2017;Penthalaz;74
2017;Penthaz;71
2017;Penthéréaz;78
2017;Perroy;60
2017;Poliez-Pittet;71
2017;Pompaples;66
2017;Pomy;71
2017;Prangins;56
2017;Premier;81
2017;Préverenges;64
2017;Prévonloup;74
2017;Prilly;73.5
