Année;Revenu ;Impôt;Supplément
2022;0;0;0
2022;100;1;1
2022;1'600.00;16;2
2022;3'200.00;48;3
2022;4'800.00;96;4
2022;7'900.00;220;5
2022;11'200.00;385;6
2022;14'300.00;571;7
2022;22'300.00;1'131.00;8
2022;38'200.00;2'403.00;9
2022;54'100.00;3'834.00;10
2022;70'100.00;5'434.00;11
2022;86'000.00;7'183.00;12
2022;101'900.00;9'091.00;12.5
2022;127'400.00;12'278.50;13
2022;152'800.00;15'580.50;13.5
2022;181'500.00;19'455.00;14
2022;210'200.00;23'473.00;14.5
2022;241'500.00;28'011.50;15
2022;275'000.00;33'036.50;15.5
